"TIME","GEO","UNIT","S_ADJ","NA_ITEM","SECTOR","Value","Flag and Footnotes"
"2000Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2000Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2000Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2000Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","9.27",""
"2000Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","13.27",""
"2000Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households",":",""
"2000Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2000Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2000Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2000Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","5.66",""
"2000Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.45",""
"2000Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households","1,219.27",""
"2000Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2000Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2000Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2000Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","9.99",""
"2000Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.31",""
"2000Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households",":",""
"2001Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","6.23",""
"2001Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","13.23",""
"2001Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households","1,163.38",""
"2001Q1","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q1","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q1","Netherlands","Percentage","Seasonally and calendar adjusted data","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q1","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.09",""
"2001Q1","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.51",""
"2001Q1","Netherlands","Percentage","Seasonally and calendar adjusted data","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households",":",""
"2001Q2","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q2","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q2","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q2","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","20.28",""
"2001Q2","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.79",""
"2001Q2","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households","976.93",""
"2001Q2","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q2","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q2","Netherlands","Percentage","Seasonally and calendar adjusted data","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q2","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","10.49",""
"2001Q2","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","12.53",""
"2001Q2","Netherlands","Percentage","Seasonally and calendar adjusted data","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households",":",""
"2001Q3","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q3","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q3","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q3","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","9.02",""
"2001Q3","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","10.69",""
"2001Q3","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households","1,082.08",""
"2001Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.39",""
"2001Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","11.82",""
"2001Q3","Netherlands","Percentage","Seasonally and calendar adjusted data","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households",":",""
"2001Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","6.54",""
"2001Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","13.34",""
"2001Q4","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households","1,129.32",""
"2001Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Actual final consumption in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2001Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross household saving rate (B8G/(B6G+D8Net)*100)","Households; non-profit institutions serving households","10.63",""
"2001Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Gross investment rate of households (P51/(B6G+D8Net)*100)","Households; non-profit institutions serving households","13.03",""
"2001Q4","Netherlands","Percentage","Seasonally and calendar adjusted data","Household net financial assets ratio (BF90/(B6G+D8net))","Households; non-profit institutions serving households",":",""
"2002Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in nominal terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
"2002Q1","Netherlands","Percentage","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Adjusted gross disposable income of households in real terms per capita (percentage change on previous period)","Households; non-profit institutions serving households",":",""
