"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2005",11.136427889988,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2006",11.6196684586277,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2007",12.4123648452504,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2008",12.3545386855781,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2009",11.3985610869277,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2010",9.59186626777,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2011",7.88122534596168,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2012",8.86256319865519,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2013",7.11319952713625,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2014",7.29639653952987,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2015",6.73664961610987,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2016",7.6950899817492,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2017",7.34801168564891,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2018",7.68281237070661,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2019",7.71513820782258,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2020",8.04234455330788,
"AUT","HHSAVFORECAST","NET","PC_HHDI","A","2021",7.91964564151355,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2005",7.46008550515389,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2006",8.01657902437727,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2007",3.74072756658669,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2008",3.28943156905877,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2009",5.56875097862143,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2010",5.94709452169949,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2011",6.62322064969595,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2012",4.96917488485138,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2013",6.84764240745345,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2014",7.46122207753111,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2015",7.29216092591447,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2016",7.02223131603301,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2017",6.63947898524198,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2018",6.8866419400007,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2019",6.5859984027018,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2020",6.19566526945927,
"HUN","HHSAVFORECAST","NET","PC_HHDI","A","2021",5.9910025249092,
"AUS","HHSAVFORECAST","NET","PC_HHDI","A","2005",1.73688513077956,
"AUS","HHSAVFORECAST","NET","PC_HHDI","A","2006",0.522590226888519,
